Xf2yB9ly16w,UCAByacqoM6rWeIBHnGt1EvA,Conheça o poderoso Course Ai #chatgpt #dicas #inteligenciaartificial #tecnologia #ia,22,N/A,Jornada Top,929000,75183,8528,0,68,https://www.youtube.com/watch?v=Xf2yB9ly16w,pt-BR,PT1M,60,ai courses
kPlLv6pC3JE,UCZknyXD-6tETm9aN8GQCi8g,AI Masterclass on ChatGPT & Midjourney (2023),24,"ansh mehra, anshmehra, uxui design, ux design, ui design, ux design free course, ui design free course",Ansh Mehra,298000,603253,23479,0,655,https://www.youtube.com/watch?v=kPlLv6pC3JE,en-GB,PT59M59S,3599,ai courses
LLxRd-zWWGo,UCFmHrI6SoMlqcqsVVJ4VCVQ,Free AI courses by Microsoft!! 🤩,27,N/A,Scholar Strategy by Nistha Tripathi,38600,26282,998,0,15,https://www.youtube.com/watch?v=LLxRd-zWWGo,en-IN,PT9S,9,ai courses
0GjK1rvuI1Q,UCRdfhTdKpGtJg-QIuAIND8g,Make $660/Day with Free Google Generative AI Certificates,27,"google certificate, google training, google ai, superhumans life, google generative ai, generative ai courses, google ai certificate, machine learning with google, artificial intelligence course for beginners, ai courses, learn ai, free courses online with certificates, generative ai course google",SuperHumans Life,289000,91526,3271,0,124,https://www.youtube.com/watch?v=0GjK1rvuI1Q,en,PT7M31S,451,ai courses
h2FDq3agImI,UCn8ujwUInbJkBhffxqAPBVQ,How I'd Learn AI in 2024 (if I could start over),28,"data science, python, machine learning, vscode, data analytics, data science tips, data science 2023, artificial intelligence, ai, tutorial, how to, artificial intelligence course, artificial intelligence tutorial, artificial intelligence explained, openai, ai automation agency, botpress, stackai, chatbot, ai tutorial, learn ai, how to learn ai, How learn machine learning, ai course, ai roadmap, data science course, ai for beginners tutorial, python tutorial, ai tutorial video, 2023",Dave Ebbelaar,50200,291841,10750,0,230,https://www.youtube.com/watch?v=h2FDq3agImI,en,PT17M55S,1075,ai courses
j7K5FBCJFDg,UCKc0J2A7znmiFwIjXUvmdvw,How to Learn AI | Effect of AI on Freelancers,28,"ai, artificial intelligence, what is artificial intelligence, generative ai, ai robots, irfan malik, irfan malik success story, irfan malik digiskills, irfan malik xeven solution, irfan malik interview, python, LearningCourse, ArtificialIntelligence, Technologies, howtoearnonline, programminglanguage, AI, python tutorial, learn python, python course, openai, chat gpt, chatgpt, machine learning, artificial intelligence tutorial, free courses, free course, free courses online",Irfan Malik,238000,252939,7502,0,263,https://www.youtube.com/watch?v=j7K5FBCJFDg,Unknown,PT6M54S,414,ai courses
uleFe6dpUvc,UCBwmMxybNva6P_5VmxjzwqA,5 AI tools for all Coders🙌🏻,27,N/A,Apna College,4660000,703165,92870,0,164,https://www.youtube.com/watch?v=uleFe6dpUvc,Unknown,PT1M,60,ai courses
ObMnw8woAog,UCPkctgt1mTeJWTGj4tq4dPQ,Best 12 AI Tools in 2023,27,N/A,LKLogic,1810000,591910,40392,0,168,https://www.youtube.com/watch?v=ObMnw8woAog,Unknown,PT36S,36,ai courses
ad79nYk2keg,UCsvqVGtbbyHaMoevxPAq9Fg,What Is AI? | Artificial Intelligence | What is Artificial Intelligence? | AI In 5 Mins |Simplilearn,27,"what is ai, artificial intelligence, what is artificial inteliigence, ai for beginners, artificial intelligence applications, artificial intelligence basics, artificial intelligence explained, artificial intelligence for beginners, artificial intelligence tutorial, introduction to ai, introduction to artificial intelligence, machine learning, simplilearn, types of artificial intelligence, what is ai technology, what is artificial intelligence, what is deep learning",Simplilearn,3540000,1782015,23324,0,2744,https://www.youtube.com/watch?v=ad79nYk2keg,en,PT5M28S,328,ai courses
GX3_qOZaj1I,UC13Qii0PEQwHevdO2_JNd2w,Ai to Create an Online Course in JUST 2 Days 😳,22,N/A,Logan,62300,23791,1189,0,15,https://www.youtube.com/watch?v=GX3_qOZaj1I,Unknown,PT33S,33,ai courses
3tDE4hDaYgw,UCKc0J2A7znmiFwIjXUvmdvw,Lecture 1 | AI Free Basic Course,28,"irfan malik, irfan malik success story, irfan malik digiskills, irfan malik xeven solution, irfan malik interview, artificial intelligence, machine learning, simplilearn, what is artificial intelligence, ai, artificial intelligence tutorial, free courses, free online courses, google free courses, free course, free courses online, ai robots, artificial intelligence robot, courses, job, xeven solutions pvt ltd, irfan, irfan views, free, make money online",Irfan Malik,238000,323097,9636,0,961,https://www.youtube.com/watch?v=3tDE4hDaYgw,Unknown,PT1H32M55S,5575,ai courses
Lx13Ma1I53E,UCKc0J2A7znmiFwIjXUvmdvw,AI Free Advance Course | Lecture 02 | Machine Learning Essentials,28,"free course with certificate, free courses, free course with certificate online, best free course with certificate, what is artificial intelligence, artificial intelligence, machine learning, what is ai, ai, ai uncovered, deep learning, deep learning tutorial, what is deep learning, data science, free online courses, irfan malik, irfan malik success story, irfan malik xeven solution, free course, free courses online, data analytics, technology, ai video, chatgpt, robots",Irfan Malik,238000,17652,952,0,76,https://www.youtube.com/watch?v=Lx13Ma1I53E,en-US,PT1H32M43S,5563,ai courses
l4D1lB0H3ns,UCn2RJFAA1ndipnVJsYAwWOw,7 FREE AI Courses To Make You An AI Developer in 2024,1,"ai course, ai courses, free ai courses, artificial intelligence course, ishan sharma, BEST AI COURSES To Become an AI Developer in 2023, artificial intelligence, Artificial Intelligence Tutorial for Beginners, artificial intelligence course for beginners, what is artificial intelligence, artificial intelligence for beginners, ai developer, coding, programming, machine learning, data science, developer, development, coding courses, learn to code, ai for beginners, chatgpt",AI Andy,99300,2233,136,0,7,https://www.youtube.com/watch?v=l4D1lB0H3ns,Unknown,PT13M13S,793,ai courses
JJCq21Dc-Us,UC9x0AN7BWHpCDHSm9NiJFJQ,learning AI and ChatGPT isn’t that hard,28,"Machine learning, chatgpt, artificial intelligence, learning, labs, AI, AI for beginners, oracle, oracle cloud, networks, networking, computer vision, how to learn machine learning, learn machine learning, chatgpt3, machine learning roadmap, machine learning tutorial, what is machine learning, machine learning tutorial for beginners",NetworkChuck,3600000,601512,23048,0,631,https://www.youtube.com/watch?v=JJCq21Dc-Us,en,PT16M46S,1006,ai courses
a0_lo_GDcFw,UCX6b17PVsYBQ0ip5gyeme-Q,What Is Artificial Intelligence? Crash Course AI #1,27,"John Green, vlogbrothers, Crash Course, crashcourse, education, John Green Bot, artificial intelligence, ai, A.I., machine learning, generalized ai, moore's law, social media, the internet",CrashCourse,15200000,658976,17728,0,585,https://www.youtube.com/watch?v=a0_lo_GDcFw,en,PT11M46S,706,ai courses
UDQ2gJZqqdE,UCvknEk1Bjmep7Ebv6QrJGSg,How much does an AI ENGINEER make?,22,N/A,Broke Brothers,218000,3705330,138023,0,1594,https://www.youtube.com/watch?v=UDQ2gJZqqdE,Unknown,PT36S,36,ai courses
wnqkfpCpK1g,UCsvqVGtbbyHaMoevxPAq9Fg,AI And Machine Learning Full Course | Artificial Intelligence & Machine Learning Course |Simplilearn,27,"artificial intelligence, artificial intelligence course, machine learning, machine learning course, ai and machine learning, ai and machine learning full course, ai and machine learning tutorial, ai and machine learning for beginners, artificial intelligence and machine learning, artificial intelligence and machine learning course, machine learning algorithms, artificial intelligence tutorial, ai and ml, simplilearn",Simplilearn,3540000,238824,5754,0,89,https://www.youtube.com/watch?v=wnqkfpCpK1g,en,PT9H48M30S,35310,ai courses
HwvsUGKtPas,UCbwthJmjmX5ZhuhyBp0otqw,Top 5 AI Courses for Beginners | Online AI Courses for Beginners | Artificial Intelligence Courses,27,"artificial intelligence, artificial intelligence for beginners, artificial intelligence tutorial for beginners, artificial intelligence course for beginners, artificial intelligence course, artificial intelligence full course, artificial intelligence tutorial, what is artificial intelligence, artificial intelligence crash course, ai tutorial for beginners, ai for beginners, artificial intelligence explained, artificial intelligence free online course for beginners",Groww plus,146000,12079,370,0,13,https://www.youtube.com/watch?v=HwvsUGKtPas,hi,PT6M16S,376,ai courses
faBRsREN1Dg,UCsvqVGtbbyHaMoevxPAq9Fg,Basics Of Artificial Intelligence | AI Basics For Beginners | AI Training For Beginners |Simplilearn,27,"simplilearn, basics of ai, basics of artificial intelligence, ai basics for beginners, ai basics, ai training for beginners, ai bootcamp for beginners, learn ai from scratch, ai bootcamp, artificial intelligence bootcamp, ai basics explained, ai basics tutorial, ai basics course, ai, ai basics course 2023, artificial intelligence basics for beginners, artificial intelligence basics, artificial intelligence basic concepts, artificial intelligence basic course",Simplilearn,3540000,13498,283,0,6,https://www.youtube.com/watch?v=faBRsREN1Dg,en,PT5H22M43S,19363,ai courses
kOkehUZrjBM,UCKc0J2A7znmiFwIjXUvmdvw,Lecture 1 | AI Free Advance Course,28,"irfan malik, irfan malik success story, irfan malik digiskills, irfan malik xeven solution, irfan malik interview, entrepreneur, AIwithIrfanMalik, free course, free courses, free courses 2023, best free courses, best free course with certificate, free course with certificate, free course with certificate online, ai video generator, ai tools, ai, artificial intelligence, artificial intelligence tutorial, what is artificial intelligence, artificial intelligence explained, python",Irfan Malik,238000,9197,404,0,43,https://www.youtube.com/watch?v=kOkehUZrjBM,ur,PT59M28S,3568,ai courses
k-mVn0jvDvs,UC3dHmPJ8ZFdx0g5WY7a29VQ,BEST ARTIFICIAL INTELLIGENCE COURSES,27,"artificial intelligence courses, best artificial intelligence courses, best AI courses, best AI certifications, how to learn artificial intelligence, AI for dummies, best fintech courses, best blockchain courses, how to get a job in fintech, how to get a job in artificial intelligence, machine learning, algorithmic trading, how to build smart systems, artificial intelligence for trading, computer science courses, stanford AI courses, computers science explained, learn AI",Martin Zeman,8940,8928,259,0,17,https://www.youtube.com/watch?v=k-mVn0jvDvs,en-US,PT11M30S,690,ai courses
T-TyqC1EveQ,UCKc0J2A7znmiFwIjXUvmdvw,AI Free Basic Course | Registrations Opened,28,"free courses, ai, artificial intelligence, free online courses, google free courses, free courses online with certificates, irfan malik, irfan malik success story, irfan malik digiskills, irfan malik xeven solution, irfan malik interview, free course, free courses online, ai robots, what is artificial intelligence, artificial intelligence robot, courses, free courses with certificate, job, xeven solutions, xeven solutions pvt ltd, irfan, irfan views, free, make money online",Irfan Malik,238000,16341,1425,0,52,https://www.youtube.com/watch?v=T-TyqC1EveQ,Unknown,PT46S,46,ai courses
k2P_pHQDlp0,UCNU_lfiiWBdtULKOw6X0Dig,AI VS ML VS DL VS Data Science,27,"Artificial Intelligence, Machine Learning, Deep Learning, Data Science",Krish Naik,855000,2721602,65494,0,1709,https://www.youtube.com/watch?v=k2P_pHQDlp0,en,PT9M45S,585,ai courses
N5C3j48K3xQ,UCKc0J2A7znmiFwIjXUvmdvw,AI Free Basic Course | Finalised Details,28,"irfan malik, irfan malik success story, irfan malik digiskills, irfan malik xeven solution, irfan malik interview, free course, free courses, free courses online, free online courses, ai, ai robots, artificial intelligence, what is artificial intelligence, artificial intelligence robot, courses, free courses with certificate, job, xeven solutions, xeven solutions pvt ltd, irfan, irfan views, free, make money, make money online, how to make money, how to make money online",Irfan Malik,238000,62830,2827,0,406,https://www.youtube.com/watch?v=N5C3j48K3xQ,ur,PT11M32S,692,ai courses
PGRUefsr4CU,UCsvqVGtbbyHaMoevxPAq9Fg,🔥Artificial Intelligence Tutorial | AI Tutorial for Beginners | 2023 | AI | Simplilearn,27,"what is ai, artificial intelligence course, artificial intelligence Tutorial For beginners, what is artificial intelligence, ai tutorial for beginners, artificial intelligence tutorial, artificial intelligence for beginners, artificial intelligence basics, introduction to ai, artificial intelligence training, artificial intelligence applications, simplilearn, 2023, how to become an AI engineer, AI expert training, AI Certification",Simplilearn,3540000,31640,422,0,11,https://www.youtube.com/watch?v=PGRUefsr4CU,en,PT31M6S,1866,ai courses
